episode,ticker,total_reward,final_balance,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
1,HINDUNILVR.NS,-433.7182,7022.6,104,0.4135,0.3366,0.2994,False,False
2,HINDUNILVR.NS,-10.4072,8655.06,96,0.5104,0.183,0.2988,False,False
3,HINDUNILVR.NS,0.0932,10712.92,96,0.5521,0.0819,0.2982,True,False
4,ICICIBANK.NS,-322.2368,6476.42,59,0.4576,0.3524,0.2976,False,True
5,ICICIBANK.NS,-0.7785,9128.06,100,0.5,0.1319,0.297,False,False
6,HINDUNILVR.NS,-3.2977,8555.14,97,0.4639,0.1992,0.2964,False,False
7,HINDUNILVR.NS,-2.3188,8939.21,97,0.4948,0.1442,0.2958,False,False
8,HINDUNILVR.NS,-1.423,9650.86,95,0.5579,0.1222,0.2952,False,False
9,ICICIBANK.NS,0.3994,10753.68,96,0.5104,0.0991,0.2946,True,False
10,ICICIBANK.NS,0.5859,11168.76,97,0.567,0.1303,0.2941,True,False
11,HINDUNILVR.NS,-0.9244,9733.55,96,0.5312,0.1081,0.2935,False,False
12,HINDUNILVR.NS,-379.2358,7106.21,97,0.4227,0.2915,0.2929,False,False
13,HINDUNILVR.NS,-19.3405,8363.87,96,0.4062,0.2055,0.2923,False,False
14,ICICIBANK.NS,-0.8007,8902.93,94,0.4894,0.2142,0.2917,False,False
15,ICICIBANK.NS,0.2921,9723.52,96,0.5417,0.1005,0.2911,False,False
16,ICICIBANK.NS,-0.5418,9679.62,93,0.5591,0.0918,0.2905,False,False
17,ICICIBANK.NS,-1.7303,8884.56,96,0.4479,0.2127,0.29,False,False
18,ICICIBANK.NS,-167.8213,8069.79,96,0.5208,0.2325,0.2894,False,False
19,ICICIBANK.NS,2.0155,12073.13,95,0.6211,0.0821,0.2888,True,False
20,ICICIBANK.NS,1.6896,10164.96,95,0.4947,0.1029,0.2882,False,False
1,HINDUNILVR.NS,-0.5485,9979.46,93,0.5591,0.0854,0.2876,False,False
2,ICICIBANK.NS,-93.8168,8216.53,87,0.5402,0.1999,0.2871,False,False
3,ICICIBANK.NS,-1.9977,10551.82,83,0.4699,0.0763,0.2865,False,False
4,ICICIBANK.NS,0.7473,10704.09,83,0.5301,0.1109,0.2859,False,False
5,ICICIBANK.NS,0.5114,9935.08,86,0.6279,0.1068,0.2854,False,False
6,ICICIBANK.NS,-2.649,8931.78,89,0.5618,0.1543,0.2848,False,False
7,ICICIBANK.NS,1.0028,11034.98,91,0.6044,0.1238,0.2842,False,False
8,ICICIBANK.NS,-1.2179,9491.67,86,0.5116,0.1436,0.2836,False,False
9,HINDUNILVR.NS,-1.2452,9983.92,81,0.5802,0.0961,0.2831,False,False
10,ICICIBANK.NS,-677.3561,7269.15,81,0.4321,0.2832,0.2825,False,False
11,HINDUNILVR.NS,-1.5585,9179.69,83,0.494,0.1359,0.2819,False,False
12,HINDUNILVR.NS,-32.3542,8237.32,81,0.4198,0.1773,0.2814,False,False
13,HINDUNILVR.NS,-1.3813,9607.19,79,0.4937,0.0799,0.2808,False,False
14,HINDUNILVR.NS,0.4866,10340.83,78,0.5128,0.0454,0.2803,False,False
15,HINDUNILVR.NS,-2.4174,8732.17,74,0.5811,0.1419,0.2797,False,False
16,HINDUNILVR.NS,-2.4731,9395.24,77,0.4545,0.0831,0.2791,False,False
17,HINDUNILVR.NS,-4.544,8657.99,71,0.493,0.1569,0.2786,False,False
18,ICICIBANK.NS,-0.7049,10330.14,72,0.4861,0.0836,0.278,False,False
19,ICICIBANK.NS,0.6475,9918.21,79,0.4684,0.1115,0.2775,False,False
20,ICICIBANK.NS,-22.7041,8509.28,80,0.4875,0.191,0.2769,False,False
1,ICICIBANK.NS,-1.453,9702.83,88,0.4318,0.089,0.2764,False,False
2,HINDUNILVR.NS,-0.778,10454.36,98,0.4694,0.0728,0.2758,False,False
3,ICICIBANK.NS,2.568,10022.54,95,0.5053,0.0921,0.2753,False,False
4,HINDUNILVR.NS,1.2385,10581.01,90,0.5222,0.0621,0.2747,False,False
5,ICICIBANK.NS,0.2571,9874.84,93,0.5699,0.0942,0.2742,False,False
6,HINDUNILVR.NS,-10.3327,8344.34,89,0.4719,0.1837,0.2736,False,False
7,HINDUNILVR.NS,-0.6494,9692.72,87,0.5287,0.0698,0.2731,False,False
8,HINDUNILVR.NS,-4.4459,9114.91,94,0.4574,0.1143,0.2725,False,False
9,HINDUNILVR.NS,0.2702,9976.57,92,0.6087,0.1216,0.272,False,False
10,HINDUNILVR.NS,-3.5647,8889.05,91,0.4505,0.159,0.2714,False,False
11,ICICIBANK.NS,-58.9281,8553.54,94,0.4787,0.2168,0.2709,False,False
12,ICICIBANK.NS,-530.5473,7543.46,94,0.5106,0.2601,0.2703,False,False
13,ICICIBANK.NS,-15.0848,8679.15,93,0.4946,0.17,0.2698,False,False
14,HINDUNILVR.NS,-0.9844,9728.73,93,0.5591,0.1112,0.2693,False,False
15,ICICIBANK.NS,-2.9021,9167.92,89,0.4045,0.1317,0.2687,False,False
